6,2,8,12,12,24,26,18
12,7,6,18,33,18,27,26
20,18,6,12,18,11,26,3
6,2,8,12,12,24,26,18
26,23,6,3,7,12,12,6
18,7,7,13,26,19,12,6
7,12,27,20,29,6,3,12
26,23,6,3,7,12,12,6
12,31,3,12,20,26,3,12
12,27,20,1,26,3,12,12
12,7,6,18,33,18,27,26
1,6,3,31,12,24,26,18
13,6,13,19,12,30,13,30
13,6,13,19,12,30,13,30
26,23,23,7,28,6,3,12
13,6,13,19,12,30,13,30
6,18,30,18,20,7,30,20
13,6,13,19,12,30,13,30
13,6,13,19,12,30,13,30
18,26,28,6,13,1,3,7
12,26,6,7,20,6,7,12
6,7,30,30,33,7,12,31
13,30,23,28,23,6,19,12
3,13,6,7,12,1,12,12
13,6,13,19,12,30,13,30
13,6,13,19,12,30,13,30
13,6,13,19,12,30,13,30
18,27,20,27,12,12,31,12
7,12,6,3,7,12,13,20
12,3,12,6,18,30,26,33
20,3,7,12,12,7,7,13
18,27,2,6,18,31,7,12
27,12,6,16,3,13,30,12
18,27,24,12,18,27,3,20
27,29,24,26,18,27,7,13
18,11,26,18,6,18,27,20
18,11,26,18,6,18,27,20
18,11,26,18,6,18,27,20
12,27,3,12,12,27,3,12
29,23,12,31,7,20,3,7
28,13,13,6,18,30,7,13
3,22,9,7,12,12,12,12
12,11,26,3,12,7,12,12
20,12,20,27,7,12,27,21
26,18,26,18,26,18,28,21
3,7,12,6,3,12,13,30
12,12,12,29,6,3,12,12
12,30,18,30,18,3,7,12
7,30,20,29,18,6,12,27
12,12,20,20,26,3,12,12
7,30,20,29,7,6,13,27
6,3,12,12,12,31,24,26
12,27,3,12,12,27,3,12
12,30,6,13,30,6,3,12
12,12,13,12,12,12,3,12
18,27,18,12,12,27,18,26
18,27,18,12,18,26,18,26
12,27,18,6,19,13,2,12
3,7,27,12,3,12,18,30
7,12,12,24,26,1,24,26
7,7,7,12,6,19,7,13
12,27,29,23,6,3,7,12
12,26,18,1,18,26,18,6
12,12,30,20,20,26,3,12
1,19,7,7,12,6,3,12
12,20,20,7,7,30,6,12
3,6,3,7,12,12,12,12
19,20,7,7,13,6,3,12
27,18,27,24,26,19,13,6
13,30,7,8,13,30,7,12
12,20,20,7,7,30,6,12
12,20,20,7,7,30,6,12
3,6,3,7,12,12,12,12
1,20,35,12,12,27,20,12
1,26,7,12,20,20,6,12
6,19,12,26,33,3,7,12
12,32,31,12,35,18,31,12
1,28,6,16,3,7,7,13
12,20,20,6,24,26,6,12
1,12,20,28,13,6,30,12
1,12,12,20,7,26,19,13
12,30,3,7,12,12,30,29
25,12,30,12,12,30,29,29
18,30,26,18,7,30,30,18
20,18,1,26,27,29,24,26
18,27,3,12,12,30,30,18
20,12,27,19,12,6,19,13
20,18,1,26,27,29,24,26
12,6,6,12,18,27,23,12
12,6,6,12,18,27,23,12
12,3,12,31,3,7,12,3
12,12,31,18,31,6,24,26
12,12,31,18,31,6,24,26
12,12,12,12,27,18,30,26
12,12,31,18,31,6,24,26
12,20,27,3,7,12,6,12
12,12,20,27,24,26,3,12
12,12,12,12,30,30,3,12
7,12,30,6,12,12,12,12
1,12,27,29,6,7,12,12
12,6,3,12,13,6,3,12
12,20,27,6,12,5,12,12
12,30,12,26,19,12,20,12
12,12,31,18,31,6,24,26
12,12,31,18,31,6,24,26
7,28,6,19,12,31,3,9
12,27,3,12,12,27,3,12
20,26,26,18,1,20,26,18
6,12,1,12,7,12,18,6
2,13,32,30,31,29,28,18
6,12,12,27,13,1,13,24
12,31,18,3,30,6,12,20
7,29,12,13,6,3,7,12
7,12,7,12,6,19,7,12
7,7,12,12,12,6,19,13
20,7,26,3,7,12,12,12
29,24,26,3,12,12,1,13
20,6,12,12,28,12,1,12
12,3,12,31,7,1,19,7
12,6,12,31,3,12,6,13
12,12,1,12,12,24,26,13
1,18,7,20,29,3,12,12
20,13,20,30,18,26,7,13
1,7,12,12,6,3,7,12
12,20,6,19,13,31,7,12
3,31,6,3,12,6,3,12
1,7,20,30,20,20,30,12
13,19,7,26,19,28,13,20
26,26,26,7,7,12,20,7
12,20,27,3,20,33,20,12
7,27,19,13,33,20,30,26
12,30,3,12,6,3,7,12
1,7,12,12,6,18,30,7
20,26,19,12,1,19,12,12
29,24,26,3,12,6,3,12
12,12,20,26,6,3,7,12
26,12,12,6,3,7,7,12
7,12,7,12,7,12,7,12
28,12,13,6,3,12,12,27
12,12,27,3,12,1,3,12
26,3,2,12,12,24,3,12
12,30,3,12,6,3,7,12
12,6,3,12,12,18,27,7
12,18,6,19,12,6,18,30
12,12,20,26,6,3,7,12
26,12,12,6,3,7,7,12
7,12,7,12,7,12,7,12
7,12,12,12,6,3,7,12
12,12,30,7,12,12,12,12
12,18,30,3,7,12,12,13
1,18,30,3,7,12,12,13
26,3,12,12,6,18,30,13
12,18,30,3,7,7,12,13
1,18,30,3,7,7,12,13
1,18,30,3,7,12,12,13
7,13,19,7,12,12,12,12
18,27,24,26,3,12,33,20
12,27,3,6,3,12,3,12
19,12,29,7,19,12,29,7
19,13,29,7,19,13,29,7
7,12,12,19,7,12,12,23
13,30,20,7,18,30,7,7
12,26,29,23,7,26,29,23
12,5,12,12,12,27,3,12
12,27,3,6,3,12,3,12
7,12,7,12,27,7,7,12
26,18,23,7,26,23,7,12
7,12,7,12,27,7,7,12
7,12,7,12,18,6,18,30
6,3,13,27,28,18,27,18
20,12,12,32,26,18,18,27
3,7,12,12,6,18,30,12
12,18,23,1,12,1,26,18
6,3,13,27,28,18,27,18
20,12,12,32,26,18,18,27
12,30,7,12,12,8,6,12
12,6,18,30,26,6,6,20
6,3,13,27,28,18,27,18
20,12,12,32,26,18,18,27
26,3,7,6,18,27,3,12
12,18,23,1,12,1,26,18
6,3,13,27,28,18,27,18
28,6,12,12,12,6,3,12
29,3,7,7,12,18,27,7
28,23,3,12,6,18,20,30
28,24,19,13,6,18,20,30
28,18,30,20,30,12,6,18
19,7,24,26,3,12,18,29
28,6,12,12,12,6,3,12
29,3,7,7,12,18,27,7
12,20,28,12,12,30,30,12
1,3,7,12,26,19,12,12
26,18,7,13,30,7,6,18
12,12,13,27,12,6,3,12
7,12,13,27,3,7,12,7
7,12,27,7,6,19,13,27
6,3,12,6,12,12,12,12
26,3,7,13,12,1,12,13
11,26,18,23,1,20,26,18
12,18,31,7,13,7,29,26
13,30,3,12,12,20,20,30
13,30,3,12,12,20,20,30
30,18,7,13,30,18,7,13
19,3,7,12,1,18,20,26
13,30,6,13,30,7,12,13
12,27,3,12,35,3,13,27
3,6,19,13,6,19,12,12
33,27,12,12,3,6,18,30
12,12,30,7,13,1,12,13
7,12,27,7,12,6,3,12
19,13,24,18,18,1,26,30
13,6,3,7,12,26,6,18
3,12,12,6,3,12,7,30
26,3,12,1,12,1,12,12
13,6,3,7,12,26,6,18
